x,y,psi,v_ref,s
0.000000,0.000000,-1.570796,1.500000,0.000000
0.000274,-0.031414,-1.553342,1.500000,0.031415
0.001096,-0.062813,-1.535884,1.500000,0.062825
0.002467,-0.094186,-1.518415,1.500000,0.094228
0.004384,-0.125517,-1.500933,1.500000,0.125617
0.006848,-0.156793,-1.483432,1.500000,0.156990
0.009857,-0.188000,-1.465908,1.500000,0.188342
0.013410,-0.219125,-1.448356,1.500000,0.219669
0.017505,-0.250153,-1.430771,1.500000,0.250966
0.022141,-0.281072,-1.413149,1.500000,0.282231
0.027315,-0.311868,-1.395484,1.500000,0.313458
0.033026,-0.342526,-1.377773,1.500000,0.344644
0.039271,-0.373035,-1.360011,1.500000,0.375785
0.046047,-0.403380,-1.342193,1.500000,0.406878
0.053351,-0.433548,-1.324314,1.500000,0.437917
0.061179,-0.463525,-1.306370,1.500000,0.468900
0.069530,-0.493300,-1.288357,1.500000,0.499823
0.078398,-0.522858,-1.270269,1.500000,0.530683
0.087779,-0.552187,-1.252103,1.500000,0.561476
0.097671,-0.581273,-1.233853,1.500000,0.592199
0.108068,-0.610105,-1.215516,1.500000,0.622847
0.118966,-0.638669,-1.197087,1.500000,0.653420
0.130360,-0.666953,-1.178561,1.500000,0.683912
0.142246,-0.694944,-1.159935,1.500000,0.714322
0.154617,-0.722631,-1.141203,1.500000,0.744647
0.167468,-0.750000,-1.122362,1.500000,0.774884
0.180795,-0.777041,-1.103408,1.500000,0.805030
0.194590,-0.803740,-1.084336,1.500000,0.835083
0.208848,-0.830087,-1.065143,1.500000,0.865041
0.223563,-0.856070,-1.045825,1.500000,0.894901
0.238729,-0.881678,-1.026378,1.500000,0.924662
0.254338,-0.906899,-1.006797,1.500000,0.954323
0.270383,-0.931722,-0.987081,1.500000,0.983880
0.286858,-0.956136,-0.967224,1.500000,1.013333
0.303756,-0.980131,-0.947225,1.500000,1.042681
0.321069,-1.003696,-0.927080,1.500000,1.071922
0.338789,-1.026821,-0.906785,1.500000,1.101056
0.356909,-1.049495,-0.886339,1.500000,1.130081
0.375421,-1.071709,-0.865738,1.500000,1.158997
0.394316,-1.093453,-0.844981,1.500000,1.187804
0.413587,-1.114717,-0.824065,1.500000,1.216501
0.433224,-1.135493,-0.802987,1.500000,1.245088
0.453220,-1.155770,-0.781748,1.500000,1.273566
0.473565,-1.175540,-0.760345,1.500000,1.301935
0.494251,-1.194795,-0.738777,1.500000,1.330196
0.515268,-1.213525,-0.717044,1.500000,1.358348
0.536608,-1.231724,-0.695144,1.500000,1.386394
0.558261,-1.249382,-0.673079,1.500000,1.414334
0.580217,-1.266492,-0.650848,1.500000,1.442169
0.602466,-1.283046,-0.628452,1.500000,1.469902
0.625000,-1.299038,-0.605891,1.500000,1.497534
0.647808,-1.314460,-0.583168,1.500000,1.525066
0.670880,-1.329305,-0.560284,1.500000,1.552501
0.694206,-1.343568,-0.537241,1.500000,1.579842
0.717776,-1.357241,-0.514042,1.500000,1.607091
0.741579,-1.370318,-0.490690,1.500000,1.634250
0.765606,-1.382795,-0.467188,1.500000,1.661323
0.789844,-1.394665,-0.443541,1.500000,1.688312
0.814285,-1.405923,-0.419753,1.500000,1.715221
0.838917,-1.416565,-0.395828,1.500000,1.742053
0.863729,-1.426585,-0.371772,1.500000,1.768812
0.888710,-1.435979,-0.347591,1.500000,1.795502
0.913850,-1.444744,-0.323291,1.500000,1.822125
0.939138,-1.452875,-0.298878,1.500000,1.848688
0.964561,-1.460368,-0.274360,1.500000,1.875193
0.990110,-1.467221,-0.249743,1.500000,1.901645
1.015773,-1.473431,-0.225035,1.500000,1.928049
1.041539,-1.478994,-0.200245,1.500000,1.954408
1.067396,-1.483908,-0.175380,1.500000,1.980728
1.093333,-1.488172,-0.150450,1.500000,2.007014
1.119339,-1.491783,-0.125463,1.500000,2.033269
1.145403,-1.494739,-0.100428,1.500000,2.059499
1.171512,-1.497040,-0.075355,1.500000,2.085710
1.197655,-1.498684,-0.050253,1.500000,2.111905
1.223822,-1.499671,-0.025131,1.500000,2.138090
1.250000,-1.500000,-0.000000,1.500000,2.164270
1.276178,-1.499671,0.025131,1.500000,2.190450
1.302345,-1.498684,0.050253,1.500000,2.216635
1.328488,-1.497040,0.075355,1.500000,2.242831
1.354597,-1.494739,0.100428,1.500000,2.269041
1.380661,-1.491783,0.125463,1.500000,2.295271
1.406667,-1.488172,0.150450,1.500000,2.321527
1.432604,-1.483908,0.175380,1.500000,2.347812
1.458461,-1.478994,0.200245,1.500000,2.374132
1.484227,-1.473431,0.225035,1.500000,2.400492
1.509890,-1.467221,0.249743,1.500000,2.426895
1.535439,-1.460368,0.274360,1.500000,2.453347
1.560862,-1.452875,0.298878,1.500000,2.479852
1.586150,-1.444744,0.323291,1.500000,2.506415
1.611290,-1.435979,0.347591,1.500000,2.533039
1.636271,-1.426585,0.371772,1.500000,2.559728
1.661083,-1.416565,0.395828,1.500000,2.586487
1.685715,-1.405923,0.419753,1.500000,2.613320
1.710156,-1.394665,0.443541,1.500000,2.640229
1.734394,-1.382795,0.467188,1.500000,2.667218
1.758421,-1.370318,0.490690,1.500000,2.694290
1.782224,-1.357241,0.514042,1.500000,2.721450
1.805794,-1.343568,0.537241,1.500000,2.748698
1.829120,-1.329305,0.560284,1.500000,2.776039
1.852192,-1.314460,0.583168,1.500000,2.803474
1.875000,-1.299038,0.605891,1.500000,2.831007
1.897534,-1.283046,0.628452,1.500000,2.858638
1.919783,-1.266492,0.650848,1.500000,2.886371
1.941739,-1.249382,0.673079,1.500000,2.914207
1.963392,-1.231724,0.695144,1.500000,2.942147
1.984732,-1.213525,0.717044,1.500000,2.970192
2.005749,-1.194795,0.738777,1.500000,2.998345
2.026435,-1.175540,0.760345,1.500000,3.026605
2.046780,-1.155770,0.781748,1.500000,3.054974
2.066776,-1.135493,0.802987,1.500000,3.083452
2.086413,-1.114717,0.824065,1.500000,3.112040
2.105684,-1.093453,0.844981,1.500000,3.140737
2.124579,-1.071709,0.865738,1.500000,3.169544
2.143091,-1.049495,0.886339,1.500000,3.198460
2.161211,-1.026821,0.906785,1.500000,3.227485
2.178931,-1.003696,0.927080,1.500000,3.256618
2.196244,-0.980131,0.947225,1.500000,3.285859
2.213142,-0.956136,0.967224,1.500000,3.315207
2.229617,-0.931722,0.987081,1.500000,3.344660
2.245662,-0.906899,1.006797,1.500000,3.374218
2.261271,-0.881678,1.026378,1.500000,3.403878
2.276437,-0.856070,1.045825,1.500000,3.433639
2.291152,-0.830087,1.065143,1.500000,3.463500
2.305410,-0.803740,1.084336,1.500000,3.493458
2.319205,-0.777041,1.103408,1.500000,3.523511
2.332532,-0.750000,1.122362,1.500000,3.553657
2.345383,-0.722631,1.141203,1.500000,3.583893
2.357754,-0.694944,1.159935,1.500000,3.614218
2.369640,-0.666953,1.178561,1.500000,3.644628
2.381034,-0.638669,1.197087,1.500000,3.675121
2.391932,-0.610105,1.215516,1.500000,3.705693
2.402329,-0.581273,1.233853,1.500000,3.736342
2.412221,-0.552187,1.252103,1.500000,3.767064
2.421602,-0.522858,1.270269,1.500000,3.797857
2.430470,-0.493300,1.288357,1.500000,3.828717
2.438821,-0.463525,1.306370,1.500000,3.859640
2.446649,-0.433548,1.324314,1.500000,3.890623
2.453953,-0.403380,1.342193,1.500000,3.921663
2.460729,-0.373035,1.360011,1.500000,3.952755
2.466974,-0.342526,1.377773,1.500000,3.983896
2.472685,-0.311868,1.395484,1.500000,4.015082
2.477859,-0.281072,1.413149,1.500000,4.046309
2.482495,-0.250153,1.430771,1.500000,4.077574
2.486590,-0.219125,1.448356,1.500000,4.108872
2.490143,-0.188000,1.465908,1.500000,4.140198
2.493152,-0.156793,1.483432,1.500000,4.171550
2.495616,-0.125517,1.500933,1.500000,4.202923
2.497533,-0.094186,1.518415,1.500000,4.234313
2.498904,-0.062813,1.535884,1.500000,4.265715
2.499726,-0.031414,1.553342,1.500000,4.297126
2.500000,0.000000,1.570796,1.500000,4.328540
2.500274,0.031414,1.553342,1.500000,4.359955
2.501096,0.062813,1.535884,1.500000,4.391366
2.502467,0.094186,1.518415,1.500000,4.422768
2.504384,0.125517,1.500933,1.500000,4.454158
2.506848,0.156793,1.483432,1.500000,4.485530
2.509857,0.188000,1.465908,1.500000,4.516882
2.513410,0.219125,1.448356,1.500000,4.548209
2.517505,0.250153,1.430771,1.500000,4.579507
2.522141,0.281072,1.413149,1.500000,4.610771
2.527315,0.311868,1.395484,1.500000,4.641999
2.533026,0.342526,1.377773,1.500000,4.673185
2.539271,0.373035,1.360011,1.500000,4.704326
2.546047,0.403380,1.342193,1.500000,4.735418
2.553351,0.433548,1.324314,1.500000,4.766457
2.561179,0.463525,1.306370,1.500000,4.797441
2.569530,0.493300,1.288357,1.500000,4.828364
2.578398,0.522858,1.270269,1.500000,4.859224
2.587779,0.552187,1.252103,1.500000,4.890016
2.597671,0.581273,1.233853,1.500000,4.920739
2.608068,0.610105,1.215516,1.500000,4.951388
2.618966,0.638669,1.197087,1.500000,4.981960
2.630360,0.666953,1.178561,1.500000,5.012453
2.642246,0.694944,1.159935,1.500000,5.042863
2.654617,0.722631,1.141203,1.500000,5.073188
